# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "10" "-F" "GTF" "-t" "miRNA" "-g" "ID" "-a" "/home/shared/resources/mirna/mmu.gff3" "-o" "/home/qianhui/damagedmuscle_project/data/02_data_processed/04_featurecounts/bwa_counts.txt" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_1_sorted.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_2_sorted.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_1_sorted.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_1_sorted.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/damaged_muscle_exosome_2_sorted.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_1_sorted.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/03_bwa/muscle_exosome_2_sorted.bam
MIMAT0017233	chr11	28746244	28746265	+	22	0	0	0	0
MIMAT0029888	chr11	28746244	28746266	-	23	0	0	0	0
MIMAT0029889	chr11	28746198	28746220	-	23	0	0	0	0
MIMAT0000662	chr11	28757018	28757039	+	22	0	0	0	0
MIMAT0017054	chr11	28757058	28757079	+	22	0	0	0	0
MIMAT0000679	chr11	28763761	28763783	+	23	7	0	0	0
MIMAT0017072	chr11	28763798	28763820	+	23	0	0	0	0
MIMAT0000663	chr11	35616840	35616860	+	21	3311	3877	4644	6283
MIMAT0005444	chr11	35616882	35616903	+	22	0	0	0	0
MIMAT0017024	chr11	35782410	35782432	+	23	0	0	0	0
MIMAT0000546	chr11	35782447	35782469	+	23	628	723	338	525
MIMAT0000158	chr11	43374435	43374456	-	22	16804	20306	5336	7153
MIMAT0016989	chr11	43374399	43374420	-	22	0	0	0	0
MIMAT0031403	chr11	46102300	46102322	+	23	0	0	0	0
MIMAT0028446	chr11	46170087	46170106	+	20	0	0	0	0
MIMAT0028447	chr11	46170124	46170143	+	20	0	0	0	0
MIMAT0004651	chr11	50069720	50069741	+	22	0	0	0	0
MIMAT0000586	chr11	50069762	50069783	+	22	11	1	4	3
MIMAT0027738	chr11	50232250	50232272	+	23	0	0	0	0
MIMAT0027739	chr11	50232286	50232306	+	21	0	0	4	0
MIMAT0004210	chr11	50357799	50357820	-	22	0	0	0	0
MIMAT0014828	chr11	52126759	52126780	+	22	48	54	37	72
MIMAT0014829	chr11	52126804	52126825	+	22	44	73	13	18
MIMAT0027740	chr11	53409202	53409223	+	22	0	0	0	0
MIMAT0027741	chr11	53409245	53409265	+	21	0	0	0	0
MIMAT0029848	chr11	53763632	53763654	-	23	0	10	3	5
MIMAT0029849	chr11	53763597	53763618	-	22	0	0	0	0
MIMAT0029810	chr11	55501226	55501247	+	22	0	0	7	0
MIMAT0029811	chr11	55501261	55501281	+	21	0	0	0	0
MIMAT0027742	chr11	60200591	60200612	-	22	0	0	0	0
MIMAT0027743	chr11	60200538	60200558	-	21	0	0	0	0
MIMAT0027744	chr11	60202300	60202322	-	23	0	0	4	0
MIMAT0027745	chr11	60202262	60202284	-	23	0	0	0	0
MIMAT0020607	chr11	60728698	60728718	+	21	1530	1779	104	611
MIMAT0004187	chr11	65734799	65734820	-	22	293	96	158	324
MIMAT0004820	chr11	65734742	65734763	-	22	91	168	67	117
MIMAT0027746	chr11	67099804	67099827	+	24	0	0	1	5
MIMAT0027747	chr11	67099855	67099875	+	21	8	0	0	13
MIMAT0025159	chr11	68220917	68220938	+	22	0	0	0	0
MIMAT0014830	chr11	68990638	68990659	-	22	0	23	21	40
MIMAT0014831	chr11	68990597	68990615	-	19	0	0	0	0
MIMAT0005846	chr11	69635419	69635439	-	21	0	0	0	0
MIMAT0009398	chr11	69663055	69663077	+	23	6	5	8	0
MIMAT0017341	chr11	69663092	69663113	+	22	0	0	0	0
MIMAT0027748	chr11	69882067	69882089	-	23	0	0	0	0
MIMAT0027749	chr11	69882032	69882052	-	21	0	0	0	0
MIMAT0000555	chr11	70012060	70012082	+	23	48	100	34	74
MIMAT0000556	chr11	70012095	70012114	+	20	178	202	100	166
MIMAT0031404	chr11	70234763	70234786	-	24	0	0	0	0
MIMAT0003453	chr11	70234730	70234751	+	22	207	167	311	447
MIMAT0017247	chr11	70234770	70234790	+	21	0	0	0	0
MIMAT0000225	chr11	70235062	70235082	+	21	159	465	317	311
MIMAT0017000	chr11	70235100	70235121	+	22	7	27	29	29
MIMAT0028127	chr11	70438256	70438279	+	24	0	0	0	12
MIMAT0028128	chr11	70438297	70438318	+	22	0	0	4	0
MIMAT0027750	chr11	70705995	70706016	+	22	0	0	0	0
MIMAT0027751	chr11	70706035	70706052	+	18	0	0	0	0
MIMAT0025081	chr11	72388765	72388785	+	21	0	0	0	0
MIMAT0027752	chr11	74868168	74868189	-	22	0	0	14	0
MIMAT0027753	chr11	74868127	74868147	-	21	0	0	0	0
MIMAT0017053	chr11	75173403	75173425	+	23	87	107	20	16
MIMAT0000659	chr11	75173443	75173464	+	22	1304	1866	388	807
MIMAT0016984	chr11	75173686	75173707	+	22	1510	1681	434	966
MIMAT0000144	chr11	75173723	75173744	+	22	308	449	131	215
MIMAT0004629	chr11	75463734	75463755	+	22	955	963	406	674
MIMAT0000531	chr11	75463772	75463793	+	22	230599	187631	64401	113667
MIMAT0019356	chr11	75551480	75551501	+	22	0	0	0	0
MIMAT0004825	chr11	77078122	77078144	-	23	562	666	371	460
MIMAT0003454	chr11	77078086	77078108	-	23	2895	2804	1870	3044
MIMAT0049826	chr11	77467518	77467539	+	22	0	0	0	0
MIMAT0049827	chr11	77467553	77467573	+	21	0	0	0	0
MIMAT0016988	chr11	78073010	78073032	+	23	0	0	9	0
MIMAT0000156	chr11	78073047	78073066	+	20	12	14	0	0
MIMAT0025178	chr11	78073219	78073239	-	21	0	0	0	0
MIMAT0001632	chr11	78073186	78073207	+	22	10291	10423	7603	11346
MIMAT0029812	chr11	78178827	78178848	+	22	0	0	7	0
MIMAT0029813	chr11	78178866	78178887	+	22	0	0	0	0
MIMAT0004544	chr11	79711975	79711996	+	22	352	359	256	503
MIMAT0000223	chr11	79712009	79712030	+	22	3625	2389	3300	5960
MIMAT0000711	chr11	79726467	79726488	+	22	589	702	243	654
MIMAT0017179	chr11	79726428	79726450	+	23	49	90	33	33
MIMAT0029872	chr11	82985046	82985065	-	20	0	0	0	0
MIMAT0029873	chr11	82985003	82985026	-	24	0	0	0	0
MIMAT0020618	chr11	85760675	85760699	-	25	0	0	0	0
MIMAT0000530	chr11	86584120	86584141	-	22	829851	606708	626983	906217
MIMAT0004628	chr11	86584082	86584103	-	22	272	279	284	481
MIMAT0049828	chr11	86852636	86852657	-	22	0	0	0	0
MIMAT0049829	chr11	86852604	86852625	-	22	0	0	0	0
MIMAT0017008	chr11	87113017	87113038	+	22	10	17	38	77
MIMAT0000379	chr11	87113054	87113076	+	23	219	135	278	351
MIMAT0031402	chr11	87756906	87756925	-	20	0	0	0	0
MIMAT0000154	chr11	87756867	87756887	+	21	21	22	1	0
MIMAT0000155	chr11	87756903	87756925	+	23	0	0	0	0
MIMAT0019348	chr11	88352839	88352858	+	20	121	79	123	157
MIMAT0014832	chr11	95963347	95963367	-	21	0	0	0	0
MIMAT0014833	chr11	95963304	95963325	-	22	0	0	0	0
MIMAT0000518	chr11	96265187	96265208	+	22	38217	51034	51773	84720
MIMAT0017013	chr11	96265225	96265246	+	22	0	0	0	0
MIMAT0000648	chr11	96317186	96317208	+	23	67	90	33	43
MIMAT0004659	chr11	96317227	96317248	+	22	7	0	0	1
MIMAT0016991	chr11	96850400	96850423	+	24	0	0	8	8
MIMAT0000162	chr11	96850439	96850459	+	21	889	2729	942	1084
MIMAT0031407	chr11	97063829	97063849	+	21	0	3	0	0
MIMAT0028438	chr11	97146402	97146419	-	18	0	0	0	0
MIMAT0028439	chr11	97146364	97146386	-	23	0	0	20	0
MIMAT0027754	chr11	97677060	97677081	+	22	0	0	0	0
MIMAT0027755	chr11	97677106	97677126	+	21	0	0	0	0
MIMAT0031406	chr11	97744974	97744995	+	22	0	0	0	0
MIMAT0020627	chr11	98262638	98262656	+	19	0	0	0	0
MIMAT0028129	chr11	100478455	100478475	-	21	0	0	0	0
MIMAT0028130	chr11	100478411	100478432	-	22	0	0	0	0
MIMAT0027756	chr11	101030345	101030367	+	23	0	0	0	0
MIMAT0027757	chr11	101030388	101030409	+	22	0	0	0	0
MIMAT0027758	chr11	101419228	101419248	-	21	0	0	0	0
MIMAT0027759	chr11	101419187	101419209	-	23	7	0	0	24
MIMAT0031405	chr11	102230103	102230124	-	22	8	0	6	6
MIMAT0027760	chr11	102404960	102404982	-	23	0	0	0	0
MIMAT0027761	chr11	102404920	102404940	-	21	0	0	0	0
MIMAT0027762	chr11	102999896	102999916	-	21	0	0	0	0
MIMAT0027763	chr11	102999848	102999868	-	21	0	0	0	0
MIMAT0014834	chr11	106782736	106782757	-	22	36	0	9	10
MIMAT0014835	chr11	106782695	106782716	-	22	0	8	0	0
MIMAT0027764	chr11	107637727	107637748	+	22	0	11	0	9
MIMAT0027765	chr11	107637759	107637779	+	21	0	0	0	0
MIMAT0028414	chr11	107996848	107996867	+	20	0	0	0	0
MIMAT0028415	chr11	107996900	107996916	+	17	0	0	0	0
MIMAT0019352	chr11	115447969	115447989	-	21	47	101	7	9
MIMAT0022369	chr11	115795824	115795846	+	23	0	0	0	0
MIMAT0022370	chr11	115795866	115795886	+	21	8	0	0	0
MIMAT0027343	chr11	117077370	117077391	+	22	6	42	0	0
MIMAT0027344	chr11	117077412	117077433	+	22	0	0	10	0
MIMAT0027766	chr11	118002279	118002300	+	22	2	0	0	0
MIMAT0027767	chr11	118002324	118002343	+	20	0	0	0	0
MIMAT0027768	chr11	119154111	119154132	-	22	0	0	0	13
MIMAT0027769	chr11	119154076	119154097	-	22	0	0	0	0
MIMAT0009395	chr11	119390524	119390545	+	22	0	10	0	0
MIMAT0004647	chr11	120014816	120014837	-	22	0	0	0	0
MIMAT0000582	chr11	120014781	120014802	-	22	0	0	0	0
MIMAT0014836	chr11	120014780	120014801	+	22	0	0	0	0
MIMAT0014837	chr11	120014819	120014841	+	23	0	0	0	0
MIMAT0027770	chr11	120347387	120347408	-	22	0	0	0	8
MIMAT0027771	chr11	120347350	120347369	-	20	0	0	4	6
MIMAT0027772	chr11	120624856	120624876	-	21	0	1	7	0
MIMAT0027773	chr11	120624827	120624847	-	21	0	0	0	0
MIMAT0028440	chr11	121387181	121387204	-	24	0	0	0	0
MIMAT0028441	chr11	121387145	121387166	-	22	6	14	0	0
MIMAT0029858	chr12	11299887	11299908	+	22	0	0	0	0
MIMAT0029859	chr12	11299924	11299944	+	21	0	0	0	0
MIMAT0025134	chr12	15801064	15801085	-	22	0	0	0	0
MIMAT0014838	chr12	17355404	17355425	+	22	69	75	25	100
MIMAT0014839	chr12	17355441	17355462	+	22	3	4	0	0
MIMAT0025583	chr12	26414970	26414988	-	19	724	529	40	194
MIMAT0027774	chr12	28679325	28679348	+	24	0	0	0	0
MIMAT0027775	chr12	28679367	28679389	+	23	0	0	4	0
MIMAT0003457	chr12	35194849	35194869	-	21	0	0	0	0
MIMAT0020606	chr12	36816250	36816269	+	20	732	840	907	1435
MIMAT0009402	chr12	40222782	40222803	-	22	0	0	9	11
MIMAT0022385	chr12	44210313	44210334	+	22	0	0	0	0
MIMAT0022386	chr12	44210350	44210373	+	24	0	0	0	0
MIMAT0007871	chr12	54645943	54645964	-	22	0	0	0	0
MIMAT0003458	chr12	69763923	69763943	-	21	0	0	0	0
MIMAT0039309	chr12	73045918	73045937	+	20	0	0	0	0
MIMAT0020608	chr12	75909154	75909175	+	22	0	0	9	14
MIMAT0020646	chr12	76533143	76533166	-	24	0	0	0	0
MIMAT0014805	chr12	80391654	80391674	-	21	367	365	188	306
MIMAT0014806	chr12	80391615	80391636	-	22	241	402	47	97
MIMAT0014840	chr12	81166165	81166187	+	23	0	0	0	0
MIMAT0014841	chr12	81166201	81166223	+	23	0	0	0	0
MIMAT0027776	chr12	85245958	85245980	-	23	0	0	0	0
MIMAT0027777	chr12	85245923	85245944	-	22	0	0	0	0
MIMAT0014842	chr12	87437724	87437747	-	24	6369	6869	5382	8394
MIMAT0014843	chr12	87437685	87437706	-	22	12	0	6	4
MIMAT0031401	chr12	93927373	93927393	+	21	0	0	0	0
MIMAT0005847	chr12	101021692	101021713	-	22	0	0	0	0
MIMAT0009400	chr12	102684943	102684965	-	23	0	0	0	0
MIMAT0049830	chr12	104269236	104269253	-	18	0	0	0	0
MIMAT0014844	chr12	105031117	105031140	-	24	38	16	15	11
MIMAT0014845	chr12	105031078	105031099	-	22	3	0	0	0
MIMAT0004653	chr12	108658638	108658659	+	22	13	0	0	14
MIMAT0000590	chr12	108658680	108658702	+	23	578	654	362	723
MIMAT0000595	chr12	108836989	108837010	+	22	373	315	150	327
MIMAT0004656	chr12	108837027	108837048	+	22	173	111	48	30
MIMAT0007872	chr12	109544588	109544609	+	22	0	0	0	0
MIMAT0004822	chr12	109563710	109563731	+	22	0	0	1	0
MIMAT0003891	chr12	109563744	109563765	+	22	0	0	0	0
MIMAT0003739	chr12	109572004	109572025	+	22	0	0	0	0
