# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "10" "-F" "GTF" "-t" "miRNA" "-g" "ID" "-a" "/home/shared/resources/mirna/mmu.gff3" "-o" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_02_featurecounts/star_counts.txt" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_1Aligned.sortedByCoord.out.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_2Aligned.sortedByCoord.out.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_1Aligned.sortedByCoord.out.bam" "/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_2Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_1Aligned.sortedByCoord.out.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/damaged_muscle_exosome_2Aligned.sortedByCoord.out.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_1Aligned.sortedByCoord.out.bam	/home/qianhui/damagedmuscle_project/data/02_data_processed/alt_01_STAR/muscle_exosome_2Aligned.sortedByCoord.out.bam
MIMAT0000661	chr1	162223438	162223459	+	22	2124	4680	6789	8208
MIMAT0049822	chr1	164217678	164217701	+	24	0	0	0	0
MIMAT0049823	chr1	164217719	164217740	+	22	0	0	0	0
MIMAT0025090	chr1	167290125	167290146	+	22	0	0	0	0
MIMAT0025091	chr1	168490740	168490761	+	22	0	0	0	0
MIMAT0025097	chr1	169019041	169019061	-	21	0	0	0	0
MIMAT0029792	chr1	171064629	171064652	-	24	0	0	0	0
MIMAT0029793	chr1	171064591	171064611	-	21	10	0	0	8
MIMAT0029886	chr1	171641879	171641900	-	22	0	0	0	0
MIMAT0029887	chr1	171641840	171641860	-	21	0	0	0	0
MIMAT0017040	chr1	176772382	176772400	-	19	9	33	16	43
MIMAT0000605	chr1	176772342	176772363	-	22	1823	2372	1345	2189
MIMAT0049824	chr1	177579511	177579529	-	19	0	0	0	0
MIMAT0027708	chr1	180587206	180587227	+	22	0	0	0	0
MIMAT0027709	chr1	180587243	180587260	+	18	0	0	0	0
MIMAT0009458	chr1	184822465	184822488	-	24	752	606	336	537
MIMAT0017351	chr1	184822409	184822429	-	21	29	63	1	23
MIMAT0017353	chr1	185242975	185242995	+	21	5	32	8	19
MIMAT0012774	chr1	185243012	185243033	+	22	121	230	36	78
MIMAT0000224	chr1	185313325	185313346	+	22	9	0	0	0
MIMAT0016999	chr1	185313360	185313381	+	22	0	0	0	0
MIMAT0000904	chr1	185313610	185313630	+	21	29	30	9	1
MIMAT0017169	chr1	185313647	185313667	+	21	0	0	0	0
MIMAT0020614	chr1	191998602	191998623	-	22	0	0	0	0
MIMAT0000238	chr1	193507503	193507524	-	22	1	0	4	2
MIMAT0017003	chr1	193507467	193507488	-	22	0	0	0	0
MIMAT0019340	chr1	194822035	194822054	+	20	2	1	1	0
MIMAT0017063	chr1	195037050	195037074	+	25	0	8	12	16
MIMAT0000127	chr1	195037091	195037113	+	23	6	0	0	15
MIMAT0004632	chr1	195037562	195037583	+	22	200	178	121	154
MIMAT0000536	chr1	195037600	195037621	+	22	319	277	210	234
MIMAT0020611	chr10	7836441	7836464	+	24	0	0	0	0
MIMAT0025166	chr10	20297593	20297613	-	21	0	0	0	0
MIMAT0029832	chr10	22729410	22729432	-	23	0	0	0	0
MIMAT0029833	chr10	22729372	22729393	-	22	10	0	0	10
MIMAT0027710	chr10	24910669	24910691	+	23	0	0	0	0
MIMAT0027711	chr10	24910711	24910731	+	21	0	0	0	0
MIMAT0020367	chr10	41670774	41670793	+	20	0	0	0	0
MIMAT0009392	chr10	44359692	44359714	+	23	0	0	0	0
MIMAT0022729	chr10	44359734	44359755	+	22	0	0	0	0
MIMAT0027712	chr10	60126777	60126800	+	24	0	0	0	0
MIMAT0027713	chr10	60126813	60126833	+	21	0	0	0	0
MIMAT0025161	chr10	60923077	60923100	+	24	5	0	0	0
MIMAT0005848	chr10	60960802	60960824	+	23	0	0	0	0
MIMAT0020616	chr10	61774795	61774813	+	19	0	0	0	0
MIMAT0029830	chr10	62194206	62194227	-	22	0	0	0	0
MIMAT0029831	chr10	62194167	62194190	-	24	18	9	1	9
MIMAT0028398	chr10	62682508	62682532	+	25	0	0	0	0
MIMAT0028399	chr10	62682536	62682558	+	23	0	0	0	0
MIMAT0025162	chr10	76008993	76009015	+	23	0	0	0	0
MIMAT0003452	chr10	76207333	76207354	-	22	0	0	0	0
MIMAT0009393	chr10	77641236	77641257	+	22	30	26	17	0
MIMAT0017340	chr10	77641274	77641295	+	22	0	0	0	0
MIMAT0029824	chr10	78340186	78340207	-	22	0	0	0	0
MIMAT0029825	chr10	78340150	78340172	-	23	0	0	0	0
MIMAT0027714	chr10	78408522	78408543	-	22	0	0	0	0
MIMAT0027715	chr10	78408477	78408499	-	23	0	0	0	0
MIMAT0025163	chr10	78434803	78434824	+	22	0	0	0	0
MIMAT0027716	chr10	78445131	78445152	-	22	0	0	0	0
MIMAT0027717	chr10	78445095	78445116	-	22	0	0	0	0
MIMAT0027718	chr10	79531064	79531085	-	22	0	0	9	0
MIMAT0027719	chr10	79531029	79531050	-	22	0	0	0	0
MIMAT0027720	chr10	79862592	79862614	+	23	0	0	0	0
MIMAT0027721	chr10	79862629	79862650	+	22	1	0	0	0
MIMAT0027722	chr10	80278169	80278191	+	23	5	0	0	0
MIMAT0027723	chr10	80278212	80278232	+	21	0	0	0	0
MIMAT0027724	chr10	80609265	80609286	+	22	0	0	0	0
MIMAT0027725	chr10	80609305	80609329	+	25	0	0	0	0
MIMAT0009459	chr10	80828808	80828827	+	20	0	0	0	0
MIMAT0009460	chr10	80828848	80828870	+	23	14	0	2	6
MIMAT0022355	chr10	81104652	81104673	-	22	0	0	0	0
MIMAT0022356	chr10	81104614	81104635	-	22	0	0	0	0
MIMAT0022355_1	chr10	81104616	81104637	+	22	0	0	0	0
MIMAT0022356_1	chr10	81104654	81104675	+	22	0	0	0	0
MIMAT0014822	chr10	81271610	81271633	+	24	37	60	16	38
MIMAT0014823	chr10	81271654	81271675	+	22	0	12	0	0
MIMAT0027726	chr10	81386352	81386373	+	22	0	16	0	0
MIMAT0027727	chr10	81386390	81386412	+	23	10	0	0	0
MIMAT0029866	chr10	81416276	81416297	-	22	0	0	0	0
MIMAT0029867	chr10	81416240	81416261	-	22	0	0	0	8
MIMAT0000147	chr10	92072141	92072163	-	23	0	0	0	0
MIMAT0017064	chr10	92072104	92072124	-	21	0	0	0	0
MIMAT0014824	chr10	92137190	92137210	-	21	9	0	0	23
MIMAT0014825	chr10	92137152	92137172	-	21	0	0	0	0
MIMAT0009394	chr10	93162879	93162900	+	22	0	0	0	0
MIMAT0029906	chr10	93433107	93433129	+	23	0	0	0	0
MIMAT0029907	chr10	93433142	93433162	+	21	0	0	0	0
MIMAT0004643	chr10	93963817	93963838	-	22	0	25	0	24
MIMAT0000571	chr10	93963783	93963803	-	21	79	38	31	37
MIMAT0028390	chr10	94586178	94586199	-	22	0	0	0	0
MIMAT0028391	chr10	94586137	94586159	-	23	0	0	0	0
MIMAT0014813	chr10	95559286	95559308	-	23	0	0	0	0
MIMAT0014814	chr10	95559244	95559264	-	21	10	33	3	13
MIMAT0019350	chr10	97423493	97423513	+	21	0	1	0	1
MIMAT0014811	chr10	101772704	101772725	+	22	0	0	0	0
MIMAT0014812	chr10	101772740	101772761	+	22	0	0	0	0
MIMAT0025164	chr10	104287290	104287310	+	21	0	0	0	0
MIMAT0049825	chr10	111185680	111185697	+	18	0	0	0	0
MIMAT0003896	chr10	120448052	120448073	-	22	0	0	0	0
MIMAT0025165	chr10	122648412	122648433	+	22	0	0	0	0
MIMAT0031408	chr10	122679336	122679357	+	22	0	0	0	0
MIMAT0000122	chr10	122985698	122985719	-	22	89793	110455	62298	99262
MIMAT0004520	chr10	122985642	122985663	-	22	110	67	42	77
MIMAT0025167	chr10	126710355	126710376	-	22	78	94	57	44
MIMAT0000533	chr10	126995543	126995564	+	22	15	11	0	13
MIMAT0017058	chr10	126995581	126995602	+	22	11	5	0	8
MIMAT0003166	chr10	126998471	126998486	+	16	0	0	0	0
MIMAT0003451	chr10	128085291	128085312	+	22	49	21	8	34
MIMAT0017246	chr10	128085335	128085360	+	26	2	0	1	10
MIMAT0027728	chr10	128382843	128382866	+	24	0	0	0	0
MIMAT0027729	chr10	128382882	128382900	+	19	0	0	0	0
MIMAT0027730	chr10	128388837	128388860	+	24	0	0	7	0
MIMAT0027731	chr10	128388879	128388900	+	22	0	13	5	0
MIMAT0031409	chr10	128458732	128458753	+	22	0	0	0	0
MIMAT0027732	chr10	128512005	128512025	-	21	0	4	9	0
MIMAT0027733	chr10	128511968	128511989	-	22	0	0	0	0
MIMAT0027734	chr10	128584472	128584492	-	21	0	0	0	0
MIMAT0027735	chr10	128584437	128584458	-	22	0	0	0	0
MIMAT0014826	chr11	4139377	4139396	+	20	0	0	0	0
MIMAT0014827	chr11	4139413	4139434	+	22	11	7	5	6
MIMAT0027736	chr11	4891350	4891372	+	23	0	0	0	0
MIMAT0027737	chr11	4891381	4891402	+	22	0	0	0	0
MIMAT0029804	chr11	6401630	6401651	+	22	0	0	0	8
MIMAT0029805	chr11	6401670	6401693	+	24	0	0	0	0
MIMAT0009396	chr11	21344640	21344663	-	24	0	0	0	0
MIMAT0009397	chr11	21344600	21344621	-	22	0	0	0	0
MIMAT0025116	chr11	26202258	26202280	+	23	0	0	0	0
MIMAT0003729	chr11	28746204	28746225	+	22	0	0	0	0
MIMAT0017233	chr11	28746244	28746265	+	22	0	0	0	0
MIMAT0029888	chr11	28746244	28746266	-	23	0	0	0	0
MIMAT0029889	chr11	28746198	28746220	-	23	0	0	0	0
MIMAT0000662	chr11	28757018	28757039	+	22	0	0	0	0
MIMAT0017054	chr11	28757058	28757079	+	22	0	0	0	0
MIMAT0000679	chr11	28763761	28763783	+	23	7	0	0	0
MIMAT0017072	chr11	28763798	28763820	+	23	0	0	0	0
MIMAT0000663	chr11	35616840	35616860	+	21	13	37	31	21
MIMAT0005444	chr11	35616882	35616903	+	22	0	0	0	0
MIMAT0017024	chr11	35782410	35782432	+	23	0	0	0	0
MIMAT0000546	chr11	35782447	35782469	+	23	0	0	0	4
MIMAT0000158	chr11	43374435	43374456	-	22	16622	20058	5271	7086
MIMAT0016989	chr11	43374399	43374420	-	22	0	0	0	0
MIMAT0031403	chr11	46102300	46102322	+	23	0	0	0	0
MIMAT0028446	chr11	46170087	46170106	+	20	0	0	0	0
MIMAT0028447	chr11	46170124	46170143	+	20	0	0	0	0
MIMAT0004651	chr11	50069720	50069741	+	22	0	0	0	0
MIMAT0000586	chr11	50069762	50069783	+	22	11	1	4	3
MIMAT0027738	chr11	50232250	50232272	+	23	0	0	0	0
MIMAT0027739	chr11	50232286	50232306	+	21	0	0	7	0
MIMAT0004210	chr11	50357799	50357820	-	22	0	0	0	0
MIMAT0014828	chr11	52126759	52126780	+	22	48	54	37	72
MIMAT0014829	chr11	52126804	52126825	+	22	45	73	13	18
MIMAT0027740	chr11	53409202	53409223	+	22	0	0	0	0
MIMAT0027741	chr11	53409245	53409265	+	21	0	0	0	0
MIMAT0029848	chr11	53763632	53763654	-	23	0	8	1	5
MIMAT0029849	chr11	53763597	53763618	-	22	0	0	0	0
MIMAT0029810	chr11	55501226	55501247	+	22	0	0	7	0
MIMAT0029811	chr11	55501261	55501281	+	21	0	0	0	0
MIMAT0027742	chr11	60200591	60200612	-	22	0	0	0	0
MIMAT0027743	chr11	60200538	60200558	-	21	0	0	0	0
MIMAT0027744	chr11	60202300	60202322	-	23	0	0	4	0
MIMAT0027745	chr11	60202262	60202284	-	23	0	0	0	0
MIMAT0020607	chr11	60728698	60728718	+	21	1309	1395	77	450
MIMAT0004187	chr11	65734799	65734820	-	22	298	96	156	317
MIMAT0004820	chr11	65734742	65734763	-	22	91	158	62	111
MIMAT0027746	chr11	67099804	67099827	+	24	0	0	1	5
MIMAT0027747	chr11	67099855	67099875	+	21	8	0	0	12
MIMAT0025159	chr11	68220917	68220938	+	22	0	0	0	0
MIMAT0014830	chr11	68990638	68990659	-	22	0	23	21	38
MIMAT0014831	chr11	68990597	68990615	-	19	0	0	0	0
MIMAT0005846	chr11	69635419	69635439	-	21	0	0	0	0
MIMAT0009398	chr11	69663055	69663077	+	23	6	5	8	0
MIMAT0017341	chr11	69663092	69663113	+	22	0	0	0	0
MIMAT0027748	chr11	69882067	69882089	-	23	0	0	0	0
MIMAT0027749	chr11	69882032	69882052	-	21	0	0	0	0
MIMAT0000555	chr11	70012060	70012082	+	23	48	92	34	72
MIMAT0000556	chr11	70012095	70012114	+	20	231	238	141	235
MIMAT0031404	chr11	70234763	70234786	-	24	0	0	0	0
MIMAT0003453	chr11	70234730	70234751	+	22	201	165	315	444
MIMAT0017247	chr11	70234770	70234790	+	21	0	0	0	0
MIMAT0000225	chr11	70235062	70235082	+	21	156	455	314	310
MIMAT0017000	chr11	70235100	70235121	+	22	7	27	28	29
MIMAT0028127	chr11	70438256	70438279	+	24	0	0	0	12
MIMAT0028128	chr11	70438297	70438318	+	22	0	0	4	0
MIMAT0027750	chr11	70705995	70706016	+	22	0	0	0	0
MIMAT0027751	chr11	70706035	70706052	+	18	0	0	0	0
MIMAT0025081	chr11	72388765	72388785	+	21	0	0	0	0
MIMAT0027752	chr11	74868168	74868189	-	22	0	0	13	0
MIMAT0027753	chr11	74868127	74868147	-	21	0	0	0	0
MIMAT0017053	chr11	75173403	75173425	+	23	85	107	20	15
MIMAT0000659	chr11	75173443	75173464	+	22	1453	1988	403	904
MIMAT0016984	chr11	75173686	75173707	+	22	1495	1643	417	938
MIMAT0000144	chr11	75173723	75173744	+	22	249	323	89	151
MIMAT0004629	chr11	75463734	75463755	+	22	934	949	401	663
MIMAT0000531	chr11	75463772	75463793	+	22	226216	183500	63178	111708
MIMAT0019356	chr11	75551480	75551501	+	22	0	0	1	0
MIMAT0004825	chr11	77078122	77078144	-	23	553	641	363	464
MIMAT0003454	chr11	77078086	77078108	-	23	2600	2568	1707	2791
MIMAT0049826	chr11	77467518	77467539	+	22	0	0	0	0
MIMAT0049827	chr11	77467553	77467573	+	21	0	0	0	0
MIMAT0016988	chr11	78073010	78073032	+	23	0	0	9	0
MIMAT0000156	chr11	78073047	78073066	+	20	12	14	0	0
MIMAT0025178	chr11	78073219	78073239	-	21	0	0	1	0
MIMAT0001632	chr11	78073186	78073207	+	22	10179	10183	7387	11168
MIMAT0029812	chr11	78178827	78178848	+	22	0	0	7	0
MIMAT0029813	chr11	78178866	78178887	+	22	0	0	0	0
MIMAT0004544	chr11	79711975	79711996	+	22	348	365	254	508
MIMAT0000223	chr11	79712009	79712030	+	22	2915	1850	2698	4914
MIMAT0000711	chr11	79726467	79726488	+	22	0	0	0	0
MIMAT0017179	chr11	79726428	79726450	+	23	45	89	33	24
MIMAT0029872	chr11	82985046	82985065	-	20	0	0	0	0
MIMAT0029873	chr11	82985003	82985026	-	24	0	0	0	0
MIMAT0020618	chr11	85760675	85760699	-	25	0	0	0	0
MIMAT0000530	chr11	86584120	86584141	-	22	817546	598029	602972	5721
MIMAT0004628	chr11	86584082	86584103	-	22	264	265	285	475
MIMAT0049828	chr11	86852636	86852657	-	22	0	0	0	0
MIMAT0049829	chr11	86852604	86852625	-	22	0	0	0	0
MIMAT0017008	chr11	87113017	87113038	+	22	10	17	36	76
MIMAT0000379	chr11	87113054	87113076	+	23	219	131	276	351
MIMAT0031402	chr11	87756906	87756925	-	20	0	0	0	0
MIMAT0000154	chr11	87756867	87756887	+	21	21	22	0	0
MIMAT0000155	chr11	87756903	87756925	+	23	0	0	0	0
MIMAT0019348	chr11	88352839	88352858	+	20	26	16	16	17
MIMAT0014832	chr11	95963347	95963367	-	21	0	0	0	0
MIMAT0014833	chr11	95963304	95963325	-	22	0	0	0	0
MIMAT0000518	chr11	96265187	96265208	+	22	31	86	94	144
MIMAT0017013	chr11	96265225	96265246	+	22	0	0	0	0
MIMAT0000648	chr11	96317186	96317208	+	23	67	89	31	41
MIMAT0004659	chr11	96317227	96317248	+	22	7	0	0	1
MIMAT0016991	chr11	96850400	96850423	+	24	1	0	8	8
MIMAT0000162	chr11	96850439	96850459	+	21	817	2691	796	879
MIMAT0031407	chr11	97063829	97063849	+	21	0	10	0	0
MIMAT0028438	chr11	97146402	97146419	-	18	0	0	0	0
MIMAT0028439	chr11	97146364	97146386	-	23	0	0	1	0
MIMAT0027754	chr11	97677060	97677081	+	22	0	0	0	0
MIMAT0027755	chr11	97677106	97677126	+	21	0	0	0	0
MIMAT0031406	chr11	97744974	97744995	+	22	0	0	0	0
MIMAT0020627	chr11	98262638	98262656	+	19	0	0	0	0
MIMAT0028129	chr11	100478455	100478475	-	21	0	0	0	0
MIMAT0028130	chr11	100478411	100478432	-	22	0	0	0	0
MIMAT0027756	chr11	101030345	101030367	+	23	0	0	0	0
MIMAT0027757	chr11	101030388	101030409	+	22	0	0	0	0
MIMAT0027758	chr11	101419228	101419248	-	21	0	0	0	0
MIMAT0027759	chr11	101419187	101419209	-	23	7	0	0	24
MIMAT0031405	chr11	102230103	102230124	-	22	8	0	6	6
MIMAT0027760	chr11	102404960	102404982	-	23	0	0	0	0
MIMAT0027761	chr11	102404920	102404940	-	21	0	0	0	0
MIMAT0027762	chr11	102999896	102999916	-	21	0	0	0	0
MIMAT0027763	chr11	102999848	102999868	-	21	0	0	0	0
MIMAT0014834	chr11	106782736	106782757	-	22	35	0	9	10
MIMAT0014835	chr11	106782695	106782716	-	22	0	8	0	0
MIMAT0027764	chr11	107637727	107637748	+	22	0	11	0	9
MIMAT0027765	chr11	107637759	107637779	+	21	0	0	0	0
MIMAT0028414	chr11	107996848	107996867	+	20	0	0	0	0
MIMAT0028415	chr11	107996900	107996916	+	17	0	0	0	0
MIMAT0019352	chr11	115447969	115447989	-	21	0	1	0	0
MIMAT0022369	chr11	115795824	115795846	+	23	0	0	0	0
MIMAT0022370	chr11	115795866	115795886	+	21	8	0	0	0
MIMAT0027343	chr11	117077370	117077391	+	22	6	41	0	0
MIMAT0027344	chr11	117077412	117077433	+	22	0	0	10	0
MIMAT0027766	chr11	118002279	118002300	+	22	2	0	0	0
MIMAT0027767	chr11	118002324	118002343	+	20	0	0	0	0
MIMAT0027768	chr11	119154111	119154132	-	22	0	0	0	12
MIMAT0027769	chr11	119154076	119154097	-	22	0	0	0	0
MIMAT0009395	chr11	119390524	119390545	+	22	0	9	0	0
MIMAT0004647	chr11	120014816	120014837	-	22	0	0	0	0
MIMAT0000582	chr11	120014781	120014802	-	22	0	0	0	0
MIMAT0014836	chr11	120014780	120014801	+	22	0	0	0	0
MIMAT0014837	chr11	120014819	120014841	+	23	0	0	0	0
MIMAT0027770	chr11	120347387	120347408	-	22	0	0	0	8
MIMAT0027771	chr11	120347350	120347369	-	20	0	0	4	8
MIMAT0027772	chr11	120624856	120624876	-	21	0	0	0	0
MIMAT0027773	chr11	120624827	120624847	-	21	0	0	0	0
MIMAT0028440	chr11	121387181	121387204	-	24	0	0	0	0
MIMAT0028441	chr11	121387145	121387166	-	22	6	14	0	0
MIMAT0029858	chr12	11299887	11299908	+	22	0	0	0	0
MIMAT0029859	chr12	11299924	11299944	+	21	0	0	0	0
MIMAT0025134	chr12	15801064	15801085	-	22	0	0	0	0
MIMAT0014838	chr12	17355404	17355425	+	22	69	73	25	100
MIMAT0014839	chr12	17355441	17355462	+	22	2	4	0	0
MIMAT0025583	chr12	26414970	26414988	-	19	794	565	100	216
MIMAT0027774	chr12	28679325	28679348	+	24	0	0	0	0
MIMAT0027775	chr12	28679367	28679389	+	23	0	0	4	0
MIMAT0003457	chr12	35194849	35194869	-	21	0	0	0	0
MIMAT0020606	chr12	36816250	36816269	+	20	110	143	174	210
MIMAT0009402	chr12	40222782	40222803	-	22	0	0	9	11
MIMAT0022385	chr12	44210313	44210334	+	22	0	0	0	0
MIMAT0022386	chr12	44210350	44210373	+	24	0	0	0	0
MIMAT0007871	chr12	54645943	54645964	-	22	0	0	0	0
MIMAT0003458	chr12	69763923	69763943	-	21	0	0	0	0
MIMAT0039309	chr12	73045918	73045937	+	20	0	0	0	0
MIMAT0020608	chr12	75909154	75909175	+	22	0	0	8	13
MIMAT0020646	chr12	76533143	76533166	-	24	0	0	0	0
MIMAT0014805	chr12	80391654	80391674	-	21	310	300	136	241
MIMAT0014806	chr12	80391615	80391636	-	22	239	392	46	92
MIMAT0014840	chr12	81166165	81166187	+	23	0	0	0	0
MIMAT0014841	chr12	81166201	81166223	+	23	0	0	0	0
MIMAT0027776	chr12	85245958	85245980	-	23	0	0	0	0
MIMAT0027777	chr12	85245923	85245944	-	22	0	0	0	0
MIMAT0014842	chr12	87437724	87437747	-	24	5662	5999	4606	7165
MIMAT0014843	chr12	87437685	87437706	-	22	12	0	6	4
MIMAT0031401	chr12	93927373	93927393	+	21	0	0	0	0
MIMAT0005847	chr12	101021692	101021713	-	22	0	0	0	0
MIMAT0009400	chr12	102684943	102684965	-	23	0	0	0	0
MIMAT0049830	chr12	104269236	104269253	-	18	0	0	0	0
MIMAT0014844	chr12	105031117	105031140	-	24	37	16	15	11
MIMAT0014845	chr12	105031078	105031099	-	22	3	0	0	0
MIMAT0004653	chr12	108658638	108658659	+	22	2	0	0	9
MIMAT0000590	chr12	108658680	108658702	+	23	575	648	355	714
MIMAT0000595	chr12	108836989	108837010	+	22	327	293	127	321
